groupId,artifactId
org.apache.syncope.common.keymaster.self,syncope-common-keymaster-self-rest-api
org.netbeans.api,org-netbeans-modules-db-core
com.webank.wedatasphere.dss,dss-framework-orchestrator-publish
org.glassfish.pfl,pfl-dynamic
org.wso2.carbon.extension.identity.authenticator.outbound.twitter,org.wso2.carbon.extension.identity.authenticator.twitter.connector
io.smallrye,smallrye-fault-tolerance-context-propagation
org.cleartk,cleartk-ml-libsvm
com.trendmicro,tlsh
io.fastjson,slumberdb-service-model-common
org.neo4j,neo4j-cypher-javacc-parser
cn.iocoder.springboot.labs,lab-61-cat-opentracing
org.apache.rya,rya.api
com.jcabi,jcabi-log
org.deephacks.lmdbjni,lmdbjni-win64
com.navercorp.pinpoint,pinpoint-log4j2-plugin
org.openhab.addons.bundles,org.openhab.binding.homeconnect
org.restcomm,restcomm-connect.mrb.api
org.sejda,sejda-sambox
org.projectnessie,nessie-model
com.oracle.bedrock.coherence,coherence-14.1.1-testing-support
com.adobe.testing,s3mock
org.codehaus.cargo,cargo-core-api-util
org.apache.dubbo,dubbo-samples-chain-middle
com.teamdev.jxbrowser,jxbrowser-win64
org.testingisdocumenting.webtau,webtau-pdf
org.apache.activemq,artemis-core-client
org.talend.components,components-common
cn.iocoder.mall,mall-spring-boot-starter-rocketmq
me.zhyd.hunter,blog-hunter
com.atilika.kuromoji,kuromoji-jumandic
ai.labs,channels-definition
org.apache.camel,camel-beanstalk
org.apache.camel.quarkus,camel-quarkus-google-bigquery-deployment
net.sourceforge.cpdetector,cpdetector
com.sun.org.apache.xml.internal,resolver
io.github.yedaxia,japidocs
org.apache.nifi,nifi-distributed-cache-client-service-api
com.google.apis,google-api-services-policytroubleshooter
org.pentaho,pentaho-metadata
org.wicketstuff,quickview
org.kohsuke,geoip
it.eng.knowage,qbe-core
org.apache.servicecomb,service-center-client
org.scala-lang,scala-xml
org.glassfish.docs,quick-start-guide
jakarta.json.bind,jakarta.json.bind-api
de.tudarmstadt.ukp.dkpro.core,de.tudarmstadt.ukp.dkpro.core.stanfordnlp-model-ner-en-all.3class.distsim.crf
org.apache.camel,camel-leveldb-legacy
test,transitive
org.apache.cxf,cxf-rt-rs-service-description
org.jitsi,jitsi-utils
org.odpi.egeria,dino-view-api
io.fabric8.funktion,k8elasticsearch
org.simpleflatmapper,sfm-test
com.sequoiadb,sequoiadb-driver
org.apache.hop,hop-transform-cubeinput
