dependency1,dependency2,count,count1,count2,proportion1,proportion2,maxProportion
com.squareup.okhttp3:okhttp,org.ow2.asm:asm,12,176,132,0.07,0.09,0.09
ch.qos.logback:logback-core,org.slf4j:slf4j-simple,23,165,291,0.14,0.08,0.14
com.fasterxml.jackson.core:jackson-annotations,javax.ws.rs:javax.ws.rs-api,52,319,113,0.16,0.46,0.46
com.fasterxml.jackson.core:jackson-annotations,org.mybatis.spring.boot:mybatis-spring-boot-starter,14,319,118,0.04,0.12,0.12
org.postgresql:postgresql,org.springframework:spring-webmvc,20,177,190,0.11,0.11,0.11
com.google.guava:guava,org.jsoup:jsoup,87,884,180,0.1,0.48,0.48
javax.servlet:javax.servlet-api,org.apache.commons:commons-text,40,368,136,0.11,0.29,0.29
javax.servlet:javax.servlet-api,org.postgresql:postgresql,58,368,177,0.16,0.33,0.33
javax.inject:javax.inject,org.hamcrest:hamcrest-all,17,126,177,0.13,0.1,0.13
org.apache.ant:ant,org.apache.httpcomponents:httpclient,36,105,502,0.34,0.07,0.34
org.apache.ant:ant,org.apache.logging.log4j:log4j-slf4j-impl,10,105,180,0.1,0.06,0.1
org.springframework:spring-aop,redis.clients:jedis,18,133,131,0.14,0.14,0.14
org.hamcrest:hamcrest-core,org.springframework:spring-web,24,159,207,0.15,0.12,0.15
org.mybatis.spring.boot:mybatis-spring-boot-starter,org.springframework:spring-core,16,118,249,0.14,0.06,0.14
com.sun.xml.bind:jaxb-impl,org.apache.commons:commons-collections4,20,113,154,0.18,0.13,0.18
org.eclipse.jetty:jetty-servlet,org.testng:testng,25,146,209,0.17,0.12,0.17
com.google.protobuf:protobuf-java,org.apache.poi:poi,10,191,103,0.05,0.1,0.1
com.google.inject:guice,org.hamcrest:hamcrest-all,21,141,177,0.15,0.12,0.15
org.springframework:spring-jdbc,org.springframework:spring-tx,83,152,117,0.55,0.71,0.71
org.junit.jupiter:junit-jupiter-api,org.springframework:spring-core,25,203,249,0.12,0.1,0.12
org.mockito:mockito-all,org.mockito:mockito-core,52,278,678,0.19,0.08,0.19
com.googlecode.json-simple:json-simple,org.codehaus.jackson:jackson-mapper-asl,22,119,111,0.18,0.2,0.2
com.googlecode.json-simple:json-simple,org.scala-lang:scala-library,13,119,131,0.11,0.1,0.11
