dependency,count
org.apache.camel.quarkus:camel-quarkus-exec,1
com.github.jgraph:jgraphx,1
org.apache.camel:camel-debezium-mysql,1
org.apache.camel:camel-huaweicloud-obs,1
org.apache.lucene:lucene-memory,3
com.evanlennick:retry4j,2
org.apache.storm:storm-client,2
io.swagger:swaggersocket.js,1
org.neo4j:neo4j-tinkerpop-api-impl,1
org.apache.hadoop:hadoop-client-minicluster,2
com.google.cloud:google-cloud-vision,1
io.github.majianzheng:jarboot-agent,1
org.primefaces:primefaces,17
com.squareup.retrofit2:retrofit,27
com.github.markusbernhardt:proxy-vole,3
org.netbeans.api:org-netbeans-api-annotations-common,9
org.springframework.cloud:spring-cloud-aws-jdbc,1
org.springframework.cloud:spring-cloud-starter-aws-jdbc,1
com.alibaba:dubbo-registry-nacos,2
org.apache.skywalking:apm-springmvc-annotation-commons,1
ai.labs:caching-definition,1
org.apache.isis.persistence:isis-persistence-jdo-spring,1
org.kie.server.testing:json-type-info-dependency,1
org.apache.nifi:nifi-cassandra-processors,1
org.apache.nifi:nifi-expression-language,1
org.apache.nifi:nifi-framework-cluster,1
org.apache.nifi:nifi-hbase-client-service-api,1
org.janusgraph:janusgraph-core,4
org.apache.spark:spark-sql_2.11,11
com.evolveum.midpoint.repo:system-init,1
net.sf.ehcache:ehcache-web,4
org.pac4j:pac4j-oauth,7
tomcat:jasper-runtime,2
io.netty:netty-codec-memcache,2
com.netflix.ribbon:ribbon-core,6
com.xeiam.xchange:xchange-btcchina,1
com.xeiam.xchange:xchange-openexchangerates,1
com.fasterxml.jackson.dataformat:jackson-module-jaxb-annotations,1
io.enmasse:api-model,1
org.kingdoms:kingdoms,1
io.github.git-commit-id:git-commit-id-plugin-core,1
org.apache.james:apache-mailet-amqp,1
org.apache.james:james-server-core,1
io.helidon.integrations.neo4j:helidon-integrations-neo4j-health,1
io.helidon.integrations.oci:helidon-integrations-oci-atp,1
io.helidon.security.integration:helidon-security-integration-jersey,1
com.github.tillerino.twirc:twirc-server,1
org.wso2.carbon.mediation:org.wso2.carbon.proxyadmin.stub,3
ca.uhn.hapi.fhir:hapi-fhir-android,1
co.elastic.apm:apm-agent-cached-lookup-key,1
co.elastic.apm:apm-spring-webflux-testapp,1
org.glassfish.hk2:test-module-startup,1
